a1,a5a,DR,a10,a12,a15_rec,a16,taille_menage,g01bis,g02bis,g04bis,g05bis,g06bis,g07bis,g08bis,g09bis,g11bis,g12bis,g12_autre,g10bis,g13bis,g14bis,g16bis,g19bis,g19_autre_a_preciser,g03_unitbis,g03_dureebis,g15_unitbis,g15_dureebis,poids,strate
KAOLACK,08602,086,Chef de menage,Masculi,40-44ans,Wolof, 10 à 15 personnes,Non,,,,,,,,,,,,Non,Demande en cours,Le trekking/marche/à pied,"Indicipline conducteur, apprenti/receveur",,,,jour,6,2547.45263671875,Rural
THIES,10309,103,S?urFrere,Masculi,30-34ans,Wolof, 10 à 15 personnes,Non,,,,,,,,,,,,Non,Demande en cours,Transport public Ndiaga ndiaye ou car rapide,"Indicipline conducteur, apprenti/receveur",,,,semaines,6,1710.432495117188,Rural
FATICK,11201,112,EpouseEpoux,Feminin,45-49ans,Wolof, au plus 5 personnes,Non,,,,,,,,,,,,Non,Demande en cours,L'âne/charrette (tirée a la main ou par animal),Prix trop élevé,,,,jour,6,1621.8017578125,Rural
FATICK,11301,113,Chef de menage,Feminin,50-54ans,Wolof, 6 à 10 personnes,Non,,,,,,,,,,,,Non,Demande en cours,L'âne/charrette (tirée a la main ou par animal),Trop dangereux,,,,jour,5,1650.685913085938,Rural
KAFFRINE,12002,120,Chef de menage,Masculi,30-34ans,Wolof, 6 à 10 personnes,Non,,,,,,,,,,,,Non,Demande en cours,L'âne/charrette (tirée a la main ou par animal),Aucune desserte,,,,jour,5,1872.8935546875,Rural
KAFFRINE,12003,120,EpouseEpoux,Feminin,40-44ans,Wolof, 6 à 10 personnes,Non,,,,,,,,,,,,Non,Demande en cours,Transport public Ndiaga ndiaye ou car rapide,Aucune desserte,,,,jour,5,1872.8935546875,Rural
KAFFRINE,12007,120,EpouseEpoux,Feminin,35-39ans,Wolof, 10 à 15 personnes,Non,,,,,,,,,,,,Non,Demande en cours,Transport public Ndiaga ndiaye ou car rapide,Aucune desserte,,,,jour,5,1872.8935546875,Rural
KAFFRINE,12010,120,EpouseEpoux,Masculi,25-29ans,Wolof, 6 à 10 personnes,Non,,,,,,,,,,,,Non,Demande en cours,L'âne/charrette (tirée a la main ou par animal),Prix trop élevé,,,,jour,5,1872.8935546875,Rural
TAMBACOUNDA,07811,078,Chef de menage,Masculi,40-44ans,Serere, 10 à 15 personnes,Non,,,,,,,,,,,,Non,Demande en cours,L'âne/charrette (tirée a la main ou par animal),Perte de temps,,,,jour,4,1751.932373046875,Rural
THIES,09501,095,Chef de menage,Masculi,85-89ans,Wolof, 6 à 10 personnes,Non,,,,,,,,,,,,Oui,Demande en cours,Taxi clando,Prix trop élevé,,,,semaines,4,821.7345581054688,Autres urbains
LOUGA,10602,106,Chef de menage,Masculi,35-39ans,Wolof, 6 à 10 personnes,Non,,,,,,,,,,,,Oui,Demande en cours,L'âne/charrette (tirée a la main ou par animal),Aucune desserte,,,,mois,4,1756.863891601563,Rural
FATICK,11204,112,Chef de menage,Feminin,35-39ans,Wolof, 6 à 10 personnes,Non,,,,,,,,,,,,Non,Demande en cours,L'âne/charrette (tirée a la main ou par animal),Trop dangereux,,,,jour,4,1621.8017578125,Rural
KAFFRINE,12005,120,EpouseEpoux,Feminin,20-24ans,Wolof, 10 à 15 personnes,Non,,,,,,,,,,,,Non,Demande en cours,L'âne/charrette (tirée a la main ou par animal),Aucune repproche,,,,jour,4,1872.8935546875,Rural
KAFFRINE,12006,120,Chef de menage,Masculi,50-54ans,Wolof, 10 à 15 personnes,Non,,,,,,,,,,,,Non,Demande en cours,L'âne/charrette (tirée a la main ou par animal),Aucune desserte,,,,jour,4,1872.8935546875,Rural
KAFFRINE,12009,120,EpouseEpoux,Feminin,30-34ans,Wolof, 10 à 15 personnes,Non,,,,,,,,,,,,Non,Demande en cours,L'âne/charrette (tirée a la main ou par animal),Aucune desserte,,,,jour,4,1872.8935546875,Rural
DAKAR,02406,024,S?urFrere,Masculi,25-29ans,Diola, 10 à 15 personnes,Non,,,,,,,,,,,,Oui,Demande en cours,Transport public Ndiaga ndiaye ou car rapide,Prix trop élevé,,,,mois,3,971.3467407226563,Dakar urbain
DAKAR,02602,026,Enfant biologiqueAdopte,Masculi,30-34ans,Wolof, au plus 5 personnes,Non,,,,,,,,,,,,Oui,Demande en cours,Transport public Ndiaga ndiaye ou car rapide,Perte de temps,,,,semaines,3,932.4080200195313,Dakar urbain
ZIGUINCHOR,05506,055,NieceNeveu,Feminin,30-34ans,Wolof, 10 à 15 personnes,Non,,,,,,,,,,,,Oui,Demande en cours,Le trekking/marche/à pied,Perte de temps,,,,semaines,3,763.6321411132813,Autres urbains
THIES,09607,096,Chef de menage,Masculi,50-54ans,Wolof, 10 à 15 personnes,Non,,,,,,,,,,,,Non,Demande en cours,Le trekking/marche/à pied,Aucune desserte,,,,jour,3,1897.039306640625,Rural
THIES,10303,103,Chef de menage,Masculi,50-54ans,Wolof, 6 à 10 personnes,Non,,,,,,,,,,,,Non,Demande en cours,Transport public Ndiaga ndiaye ou car rapide,Perte de temps,,,,jour,3,1710.432495117188,Rural
LOUGA,10610,106,S?urFrere,Masculi,40-44ans,Halpulaar, 10 à 15 personnes,Non,,,,,,,,,,,,Oui,Demande en cours,L'âne/charrette (tirée a la main ou par animal),Prix trop élevé,,,,semaines,3,1756.863891601563,Rural
FATICK,11011,110,Chef de menage,Feminin,40-44ans,Wolof, 10 à 15 personnes,Non,,,,,,,,,,,,Oui,Demande en cours,L'âne/charrette (tirée a la main ou par animal),Aucune repproche,,,,semaines,3,775.6000366210938,Autres urbains
FATICK,11210,112,Beau-FilsBelle-Fille,Feminin,45-49ans,Serere, 6 à 10 personnes,Non,,,,,,,,,,,,Non,Demande en cours,L'âne/charrette (tirée a la main ou par animal),Prix trop élevé,,,,jour,3,1621.8017578125,Rural
KAFFRINE,12004,120,Enfant biologiqueAdopte,Masculi,25-29ans,Wolof, au plus 5 personnes,Non,,,,,,,,,,,,Non,Demande en cours,L'âne/charrette (tirée a la main ou par animal),Prix trop élevé,,,,jour,3,1872.8935546875,Rural
KAFFRINE,12211,122,Beau-FrereBelle-S?ur,Feminin,25-29ans,Wolof, 10 à 15 personnes,Non,,,,,,,,,,,,Non,Demande en cours,Transport public Ndiaga ndiaye ou car rapide,"Indicipline conducteur, apprenti/receveur",,,,jour,3,1784.949829101563,Rural
SEDHIOU,12510,125,Chef de menage,Masculi,35-39ans,Balante, 10 à 15 personnes,Non,,,,,,,,,,,,Non,Demande en cours,Le vélo,Aucune repproche,,,,jour,3,1665.642211914063,Rural
DAKAR,00504,005,Enfant biologiqueAdopte,Masculi,20-24ans,Diola, 6 à 10 personnes,Non,,,,,,,,,,,,Oui,Demande en cours,Transport public Ndiaga ndiaye ou car rapide,"Indicipline conducteur, apprenti/receveur",,,,jour,2,850.5902709960938,Dakar urbain
DAKAR,02205,022,Chef de menage,Masculi,45-49ans,Wolof, 10 à 15 personnes,Non,,,,,,,,,,,,Oui,Demande en cours,Transport public TaTa,Manque de place/surcharge,,,,semaines,2,730.3248291015625,Dakar urbain
KAOLACK,08705,087,Autre Parent,Feminin,40-44ans,Wolof, 10 à 15 personnes,Non,,,,,,,,,,,,Non,Demande en cours,L'âne/charrette (tirée a la main ou par animal),Trop dangereux,,,,jour,2,2275.724365234375,Rural
THIES,10304,103,NieceNeveu,Masculi,25-29ans,Wolof, 10 à 15 personnes,Non,,,,,,,,,,,,Non,Demande en cours,Transport public Ndiaga ndiaye ou car rapide,Trop dangereux,,,,jour,2,1710.432495117188,Rural
THIES,10308,103,Chef de menage,Masculi,55-59ans,Wolof, 6 à 10 personnes,Non,,,,,,,,,,,,Non,Demande en cours,Taxi clando,Perte de temps,,,,jour,2,1710.432495117188,Rural
DIOURBEL,05812,058,PereMere,Feminin,55-59ans,Wolof, 10 à 15 personnes,Non,,,,,,,,,,,,Oui,Demande en cours,L'âne/charrette (tirée a la main ou par animal),Aucune desserte,,,,jour,1,1664.672119140625,Rural
KAOLACK,08703,087,EpouseEpoux,Feminin,25-29ans,Wolof, 10 à 15 personnes,Non,,,,,,,,,,,,Non,Demande en cours,L'âne/charrette (tirée a la main ou par animal),Prix trop élevé,,,,jour,1,2275.724365234375,Rural
THIES,09606,096,Chef de menage,Masculi,50-54ans,Wolof, 10 à 15 personnes,Non,,,,,,,,,,,,Non,Demande en cours,L'âne/charrette (tirée a la main ou par animal),Aucune desserte,,,,jour,1,1897.039306640625,Rural
THIES,10305,103,Enfant biologiqueAdopte,Feminin,18-19ans,Wolof, au plus 5 personnes,Non,,,,,,,,,,,,Non,Demande en cours,L'âne/charrette (tirée a la main ou par animal),Trop dangereux,,,,jour,1,1710.432495117188,Rural
MATAM,11804,118,PereMere,Feminin,65-69ans,Halpulaar, 10 à 15 personnes,Non,,,,,,,,,,,,Oui,Demande en cours,L'âne/charrette (tirée a la main ou par animal),Prix trop élevé,,,,jour,1,752.8593139648438,Autres urbains
DAKAR,00410,004,EpouseEpoux,Feminin,20-24ans,Wolof, au plus 5 personnes,Non,,,,,,,,,,,,Oui,Ligne coupée par défaut de payement de facture,Transport public TaTa,Perte de temps,,,,,,716.9517211914063,Dakar urbain
DAKAR,00509,005,Autre personne non apparentee,Masculi,25-29ans,Serere, au plus 5 personnes,Non,,,,,,,,,,,,Non,Autre,L'âne/charrette (tirée a la main ou par animal),"Indicipline conducteur, apprenti/receveur",,,,,,850.5902709960938,Dakar urbain
DAKAR,00606,006,Chef de menage,Masculi,55-59ans,Wolof, au plus 5 personnes,Non,,,,,,,,,,,,Oui,Autre,L'âne/charrette (tirée a la main ou par animal),Trop dangereux,,,,,,633.8160400390625,Dakar urbain
DAKAR,00809,008,EpouseEpoux,Feminin,25-29ans,Wolof, au plus 5 personnes,Non,,,,,,,,,,,,Oui,Ligne coupée par défaut de payement de facture,Transport public TaTa,"Indicipline conducteur, apprenti/receveur",,,,,,710.467529296875,Dakar urbain
DAKAR,00908,009,Enfant biologiqueAdopte,Feminin,25-29ans,Wolof, 10 à 15 personnes,Non,,,,,,,,,,,,Oui,Ligne coupée par défaut de payement de facture,Transport public TaTa,Aucune repproche,,,,,,880.95703125,Dakar urbain
DAKAR,01709,017,Enfant biologiqueAdopte,Masculi,40-44ans,Wolof, 10 à 15 personnes,Non,,,,,,,,,,,,Oui,Ligne coupée par défaut de payement de facture,Transport public TaTa,Manque de place/surcharge,,,,,,793.7860717773438,Dakar urbain
DAKAR,01902,019,Enfant biologiqueAdopte,Feminin,65-69ans,Wolof, 6 à 10 personnes,Non,,,,,,,,,,,,Oui,Ligne coupée par défaut de payement de facture,Taxi clando,"Indicipline conducteur, apprenti/receveur",,,,,,804.094970703125,Dakar urbain
DAKAR,01910,019,Chef de menage,Feminin,50-54ans,Wolof, au plus 5 personnes,Non,,,,,,,,,,,,Oui,Ligne coupée par défaut de payement de facture,Taxi clando,Manque de place/surcharge,,,,,,804.094970703125,Dakar urbain
DAKAR,02004,020,EpouseEpoux,Feminin,25-29ans,Wolof, 6 à 10 personnes,Non,,,,,,,,,,,,Oui,Frais de raccordbranchement trop couteux,Le trekking/marche/à pied,Aucune desserte,,,,,,862.1224975585938,Dakar urbain
DAKAR,02110,021,Epouse/Epoux,Masculi,50-54ans,Soce, 6 à 10 personnes,Non,,,,,,,,,,,,Oui,Logement impropre au raccord,Le trekking/marche/à pied,Manque de fiabilité des services de transport public,,,,,,717.9419555664063,Dakar urbain
DAKAR,02211,022,Chef de menage,Masculi,45-49ans,Halpulaar, au plus 5 personnes,Non,,,,,,,,,,,,Oui,Autre,Transport public TaTa,Aucune repproche,,,,,,730.3248291015625,Dakar urbain
DAKAR,02212,022,EpouseEpoux,Feminin,20-24ans,Wolof, 6 à 10 personnes,Non,,,,,,,,,,,,Oui,Ligne coupée par défaut de payement de facture,Taxi clando,Prix trop élevé,,,,,,730.3248291015625,Dakar urbain
DAKAR,02401,024,Autre Parent,Feminin,20-24ans,Wolof, 10 à 15 personnes,Non,,,,,,,,,,,,Oui,Ligne coupée par défaut de payement de facture,Transport public TaTa,Manque de place/surcharge,,,,,,971.3467407226563,Dakar urbain
DAKAR,02502,025,EpouseEpoux,Feminin,20-24ans,Wolof, 6 à 10 personnes,Non,,,,,,,,,,,,Oui,Ligne coupée par défaut de payement de facture,Le trekking/marche/à pied,Manque de place/surcharge,,,,,,737.7018432617188,Dakar urbain
DAKAR,02808,028,EpouseEpoux,Feminin,40-44ans,Wolof, 10 à 15 personnes,Non,,,,,,,,,,,,Oui,Ligne coupée par défaut de payement de facture,Transport public Ndiaga ndiaye ou car rapide,"Indicipline conducteur, apprenti/receveur",,,,,,686.1610717773438,Dakar urbain
DAKAR,02907,029,EpouseEpoux,Feminin,55-59ans,Halpulaar, 10 à 15 personnes,Non,,,,,,,,,,,,Non,Autre,L'âne/charrette (tirée a la main ou par animal),Prix trop élevé,,,,,,933.7877197265625,Dakar urbain
DAKAR,03111,031,EpouseEpoux,Feminin,45-49ans,Wolof, au plus 5 personnes,Non,,,,,,,,,,,,Oui,Ligne coupée par défaut de payement de facture,Transport public TaTa,Manque de place/surcharge,,,,,,786.0928955078125,Dakar urbain
DAKAR,03202,032,EpouseEpoux,Feminin,30-34ans,Wolof, au plus 5 personnes,Non,,,,,,,,,,,,Non,Frais de raccordbranchement trop couteux,Transport public TaTa,Aucune repproche,,,,,,789.5631713867188,Dakar urbain
DAKAR,03207,032,PereMere,Feminin,50-54ans,Serere, 6 à 10 personnes,Non,,,,,,,,,,,,Oui,Ligne coupée par défaut de payement de facture,Transport public TaTa,Autre,,,,,,789.5631713867188,Dakar urbain
DAKAR,03209,032,Enfant biologiqueAdopte,Feminin,25-29ans,Halpulaar, 6 à 10 personnes,Non,,,,,,,,,,,,Oui,Autre,Transport public Ndiaga ndiaye ou car rapide,Attente trop longue,,,,,,789.5631713867188,Dakar urbain
DAKAR,03305,033,Chef de menage,Feminin,55-59ans,Wolof, 6 à 10 personnes,Non,,,,,,,,,,,,Oui,Autre,Transport public Ndiaga ndiaye ou car rapide,"Indicipline conducteur, apprenti/receveur",,,,,,809.3505249023438,Dakar urbain
DAKAR,03310,033,Enfant biologiqueAdopte,Feminin,18-19ans,Wolof, 10 à 15 personnes,Non,,,,,,,,,,,,Oui,Ligne coupée par défaut de payement de facture,Transport public TaTa,Perte de temps,,,,,,809.3505249023438,Dakar urbain
DAKAR,03505,035,Chef de menage,Masculi,30-34ans,Manjaag, au plus 5 personnes,Non,,,,,,,,,,,,Non,Autre,Taxi clando,Manque de place/surcharge,,,,,,909.3931274414063,Dakar urbain
DAKAR,03509,035,Chef de menage,Masculi,35-39ans,Manding, au plus 5 personnes,Non,,,,,,,,,,,,Oui,Frais de raccordbranchement trop couteux,Le vélo,"Indicipline conducteur, apprenti/receveur",,,,,,909.3931274414063,Dakar urbain
DAKAR,03606,036,Chef de menage,Masculi,50-54ans,Halpulaar, 6 à 10 personnes,Non,,,,,,,,,,,,Oui,Ligne coupée suite à des intempéries,Transport public Ndiaga ndiaye ou car rapide,Manque de fiabilité des services de transport public,,,,,,713.9808959960938,Dakar urbain
DAKAR,03703,037,Enfant biologiqueAdopte,Masculi,20-24ans,Halpulaar, 6 à 10 personnes,Non,,,,,,,,,,,,Oui,Ligne coupée par défaut de payement de facture,Transport public Ndiaga ndiaye ou car rapide,Prix trop élevé,,,,,,531.6693725585938,Dakar urbain
DAKAR,03706,037,Chef de menage,Feminin,25-29ans,Bambara, au plus 5 personnes,Non,,,,,,,,,,,,Non,Ligne coupée par défaut de payement de facture,Transport public TaTa,Manque de fiabilité des services de transport public,,,,,,531.6693725585938,Dakar urbain
DAKAR,04204,042,EpouseEpoux,Feminin,35-39ans,Wolof, 10 à 15 personnes,Non,,,,,,,,,,,,Oui,Frais de raccordbranchement trop couteux,Taxi clando,Perte de temps,,,,,,1739.723754882813,Rural
DAKAR,04303,043,Chef de menage,Feminin,30-34ans,Diola, au plus 5 personnes,Non,,,,,,,,,,,,Oui,Frais de raccordbranchement trop couteux,Le trekking/marche/à pied,Manque de place/surcharge,,,,,,818.7149047851563,Dakar urbain
DAKAR,04306,043,Chef de menage,Masculi,35-39ans,Wolof, au plus 5 personnes,Non,,,,,,,,,,,,Non,Autre,Taxi clando,Aucune repproche,,,,,,818.7149047851563,Dakar urbain
DAKAR,04410,044,Beau-FrereBelle-S?ur,Feminin,60-64ans,Wolof, 10 à 15 personnes,Non,,,,,,,,,,,,Oui,Ligne coupée par défaut de payement de facture,Taxi clando,Perte de temps,,,,,,804.094970703125,Dakar urbain
DAKAR,04706,047,Chef de menage,Masculi,40-44ans,Wolof, 6 à 10 personnes,Non,,,,,,,,,,,,Oui,Ligne coupée par défaut de payement de facture,Taxi clando,Aucune repproche,,,,,,827.884765625,Dakar urbain
DAKAR,04910,049,Chef de menage,Masculi,40-44ans,Wolof, 6 à 10 personnes,Non,,,,,,,,,,,,Oui,Ligne coupée par défaut de payement de facture,Taxi jaune noir,Autre,presence des clando,,,,,804.094970703125,Dakar urbain
DAKAR,05009,050,EpouseEpoux,Feminin,45-49ans,Halpulaar, au plus 5 personnes,Non,,,,,,,,,,,,Oui,Frais de raccordbranchement trop couteux,Transport public Ndiaga ndiaye ou car rapide,Aucune repproche,,,,,,858.7422485351563,Dakar urbain
DAKAR,05012,050,Enfant biologiqueAdopte,Feminin,25-29ans,Wolof, 10 à 15 personnes,Non,,,,,,,,,,,,Oui,Ne sait pas comment se faire raccorder,Transport public TaTa,Attente trop longue,,,,,,858.7422485351563,Dakar urbain
DAKAR,05111,051,Chef de menage,Feminin,40-44ans,Fula, 6 à 10 personnes,Non,,,,,,,,,,,,Oui,Autre,Transport public TaTa,Manque de place/surcharge,,,,,,743.1787109375,Dakar urbain
ZIGUINCHOR,05201,052,Chef de menage,Masculi,35-39ans,Diola, 10 à 15 personnes,Non,,,,,,,,,,,,Oui,Autre,Le trekking/marche/à pied,Aucune repproche,,,,,,1884.417114257813,Rural
ZIGUINCHOR,05202,052,EpouseEpoux,Feminin,25-29ans,Halpulaar, 6 à 10 personnes,Non,,,,,,,,,,,,Non,Autre,La moto/le scooter/taxi jakarta,Attente trop longue,,,,,,1884.417114257813,Rural
ZIGUINCHOR,05207,052,Chef de menage,Masculi,55-59ans,Diola, 6 à 10 personnes,Non,,,,,,,,,,,,Oui,Ligne coupée suite à des intempéries,Le trekking/marche/à pied,Prix trop élevé,,,,,,1884.417114257813,Rural
ZIGUINCHOR,05303,053,Chef de menage,Masculi,30-34ans,Manding, au plus 5 personnes,Non,,,,,,,,,,,,Oui,Frais de raccordbranchement trop couteux,Le trekking/marche/à pied,Manque de place/surcharge,,,,,,823.0040283203125,Autres urbains
ZIGUINCHOR,05304,053,Chef de menage,Masculi,60-64ans,Diola, au plus 5 personnes,Non,,,,,,,,,,,,Oui,Autre,Transport public Ndiaga ndiaye ou car rapide,Aucune repproche,,,,,,823.0040283203125,Autres urbains
ZIGUINCHOR,05309,053,Enfant biologiqueAdopte,Feminin,35-39ans,Diola, 6 à 10 personnes,Non,,,,,,,,,,,,Oui,Autre,Transport public Ndiaga ndiaye ou car rapide,Perte de temps,,,,,,823.0040283203125,Autres urbains
ZIGUINCHOR,05311,053,Chef de menage,Feminin,40-44ans,Wolof, 10 à 15 personnes,Non,,,,,,,,,,,,Oui,Autre,Transport public TaTa,Manque de place/surcharge,,,,,,823.0040283203125,Autres urbains
ZIGUINCHOR,05312,053,Enfant biologiqueAdopte,Masculi,45-49ans,Wolof, au plus 5 personnes,Non,,,,,,,,,,,,Oui,Frais de raccordbranchement trop couteux,Le trekking/marche/à pied,Aucune repproche,,,,,,823.0040283203125,Autres urbains
ZIGUINCHOR,05505,055,EpouseEpoux,Feminin,55-59ans,Creole, au plus 5 personnes,Non,,,,,,,,,,,,Oui,Autre,La moto/le scooter/taxi jakarta,Aucune repproche,,,,,,763.6321411132813,Autres urbains
ZIGUINCHOR,05507,055,Chef de menage,Masculi,60-64ans,Mancagne, 10 à 15 personnes,Non,,,,,,,,,,,,Oui,Ligne coupée par défaut de payement de facture,Transport public Ndiaga ndiaye ou car rapide,Trop dangereux,,,,,,763.6321411132813,Autres urbains
ZIGUINCHOR,05511,055,Enfant biologiqueAdopte,Feminin,35-39ans,Creole, 6 à 10 personnes,Non,,,,,,,,,,,,Oui,Autre,Taxi clando,"Indicipline conducteur, apprenti/receveur",,,,,,763.6321411132813,Autres urbains
ZIGUINCHOR,05603,056,Chef de menage,Feminin,50-54ans,Diola, 6 à 10 personnes,Non,,,,,,,,,,,,Non,Autre,Taxi clando,Prix trop élevé,,,,,,1632.982543945313,Rural
ZIGUINCHOR,05606,056,Chef de menage,Masculi,50-54ans,Diola, 6 à 10 personnes,Non,,,,,,,,,,,,Oui,Autre,Transport public Ndiaga ndiaye ou car rapide,Prix trop élevé,,,,,,1632.982543945313,Rural
ZIGUINCHOR,05610,056,Chef de menage,Masculi,65-69ans,Creole, 6 à 10 personnes,Non,,,,,,,,,,,,Oui,Autre,La moto/le scooter/taxi jakarta,Perte de temps,,,,,,1632.982543945313,Rural
ZIGUINCHOR,05611,056,EpouseEpoux,Feminin,50-54ans,Diola, 6 à 10 personnes,Non,,,,,,,,,,,,Oui,Autre,Le trekking/marche/à pied,Aucune repproche,,,,,,1632.982543945313,Rural
DIOURBEL,05802,058,Chef de menage,Feminin,40-44ans,Wolof, 6 à 10 personnes,Non,,,,,,,,,,,,Oui,Logement impropre au raccord,L'âne/charrette (tirée a la main ou par animal),Attente trop longue,,,,,,1664.672119140625,Rural
DIOURBEL,05901,059,EpouseEpoux,Feminin,55-59ans,Wolof, au plus 5 personnes,Non,,,,,,,,,,,,Oui,Logement impropre au raccord,Le trekking/marche/à pied,"Indicipline conducteur, apprenti/receveur",,,,,,855.6905517578125,Autres urbains
DIOURBEL,05904,059,Autre personne non apparentee,Feminin,35-39ans,Wolof, 10 à 15 personnes,Non,,,,,,,,,,,,Oui,Frais de raccordbranchement trop couteux,Transport public Ndiaga ndiaye ou car rapide,Manque de place/surcharge,,,,,,855.6905517578125,Autres urbains
DIOURBEL,05911,059,Enfant biologiqueAdopte,Feminin,25-29ans,Wolof, 10 à 15 personnes,Non,,,,,,,,,,,,Oui,Frais de raccordbranchement trop couteux,Le trekking/marche/à pied,Trop dangereux,,,,,,855.6905517578125,Autres urbains
DIOURBEL,06001,060,PereMere,Feminin,65-69ans,Wolof, 10 à 15 personnes,Non,,,,,,,,,,,,Non,Autre,L'âne/charrette (tirée a la main ou par animal),"Indicipline conducteur, apprenti/receveur",,,,,,804.592529296875,Autres urbains
DIOURBEL,06002,060,Chef de menage,Feminin,45-49ans,Wolof, au plus 5 personnes,Non,,,,,,,,,,,,Non,Autre,L'âne/charrette (tirée a la main ou par animal),Perte de temps,,,,,,804.592529296875,Autres urbains
DIOURBEL,06003,060,Enfant biologiqueAdopte,Feminin,20-24ans,Halpulaar, 10 à 15 personnes,Non,,,,,,,,,,,,Oui,Autre,L'âne/charrette (tirée a la main ou par animal),Aucune repproche,,,,,,804.592529296875,Autres urbains
DIOURBEL,06004,060,Chef de menage,Masculi,65-69ans,Wolof, au plus 5 personnes,Non,,,,,,,,,,,,Oui,Frais de raccordbranchement trop couteux,L'âne/charrette (tirée a la main ou par animal),Manque de place/surcharge,,,,,,804.592529296875,Autres urbains
DIOURBEL,06005,060,EpouseEpoux,Feminin,30-34ans,Serere, 6 à 10 personnes,Non,,,,,,,,,,,,Non,Autre,L'âne/charrette (tirée a la main ou par animal),Aucune repproche,,,,,,804.592529296875,Autres urbains
DIOURBEL,06007,060,Enfant biologiqueAdopte,Feminin,20-24ans,Serere, au plus 5 personnes,Non,,,,,,,,,,,,Oui,Frais de raccordbranchement trop couteux,L'âne/charrette (tirée a la main ou par animal),Aucune repproche,,,,,,804.592529296875,Autres urbains
DIOURBEL,06008,060,Chef de menage,Masculi,55-59ans,Wolof, au plus 5 personnes,Non,,,,,,,,,,,,Oui,Autre,Taxi clando,Aucune repproche,,,,,,804.592529296875,Autres urbains
DIOURBEL,06009,060,EpouseEpoux,Feminin,40-44ans,Serere, 6 à 10 personnes,Non,,,,,,,,,,,,Non,Autre,L'âne/charrette (tirée a la main ou par animal),Aucune repproche,,,,,,804.592529296875,Autres urbains
DIOURBEL,06011,060,Chef de menage,Feminin,50-54ans,Halpulaar, 6 à 10 personnes,Non,,,,,,,,,,,,Non,Autre,Le trekking/marche/à pied,Aucune repproche,,,,,,804.592529296875,Autres urbains
DIOURBEL,06101,061,EpouseEpoux,Feminin,25-29ans,Halpulaar, 6 à 10 personnes,Non,,,,,,,,,,,,Non,Autre,L'âne/charrette (tirée a la main ou par animal),"Indicipline conducteur, apprenti/receveur",,,,,,1698.3017578125,Rural
DIOURBEL,06102,061,Beau-FrereBelle-S?ur,Feminin,18-19ans,Halpulaar, 6 à 10 personnes,Non,,,,,,,,,,,,Non,Autre,L'âne/charrette (tirée a la main ou par animal),Prix trop élevé,,,,,,1698.3017578125,Rural
